City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
Port Lincoln,AU,1571423066,100,65,-34.72,135.86,54.77,24.29
Mataura,NZ,1571423068,100,92,-46.19,168.86,45,1.01
Hasaki,JP,1571423070,75,100,35.73,140.83,62.6,10.29
Luderitz,NA,1571423072,0,82,-26.65,15.16,58.49,3.24
Barrow,AR,1571423074,1,48,-38.31,-60.23,66.68,16.69
Hilo,US,1571423076,90,69,19.71,-155.08,78.8,9.17
Saskylakh,RU,1571423077,21,100,71.97,114.09,-6.72,1.92
Saint Anthony,US,1571423079,90,52,43.97,-111.68,46,20.8
Chokurdakh,RU,1571423081,61,95,70.62,147.9,9.64,5.46
Hermanus,ZA,1571423083,0,81,-34.42,19.24,64.99,1.01
Victoria,BN,1571423084,75,94,5.28,115.24,78.8,1.12
Luganville,VU,1571423086,97,98,-15.51,167.18,72.03,1.74
Tuktoyaktuk,CA,1571423088,75,92,69.44,-133.03,24.8,10.29
Ribeira Brava,PT,1571423090,40,78,32.65,-17.07,73.4,4.7
Bethel,US,1571423091,40,92,60.79,-161.76,23,3.4
Nikolskoye,RU,1571423093,90,93,59.7,30.79,44.6,2.24
Lagoa,PT,1571423095,20,77,37.14,-8.45,69.01,12.75
Rikitea,PF,1571423097,92,83,-23.12,-134.97,70.7,25.43
Touros,BR,1571423099,75,61,-5.2,-35.46,82.4,16.11
Deputatskiy,RU,1571423100,98,93,69.3,139.9,9.3,3.67
Busselton,AU,1571423102,0,48,-33.64,115.35,52,22.79
Pontianak,ID,1571423104,94,71,-0.02,109.34,83.17,5.08
Yellowknife,CA,1571423106,90,86,62.45,-114.38,30.2,13.87
Kodiak,US,1571423107,1,37,39.95,-94.76,71.01,24.16
Chuy,UY,1571423109,48,66,-33.69,-53.46,65.8,13.44
Bandarbeyla,SO,1571423111,100,80,9.49,50.81,78.78,11.99
Vaini,IN,1571423113,100,97,15.34,74.49,74.69,2.21
Qaanaaq,GL,1571423114,51,67,77.48,-69.36,7.61,8.37
Sorland,NO,1571423116,75,70,67.67,12.69,42.8,24.16
Mount Isa,AU,1571423118,0,14,-20.73,139.49,69.8,6.93
Avera,US,1571423120,1,37,33.19,-82.53,69.8,4.7
Cidreira,BR,1571423121,56,70,-30.17,-50.22,75.59,9.62
Mar del Plata,AR,1571423123,83,26,-46.43,-67.52,67.01,13.2
Saint George,GR,1571423125,20,77,39.45,22.34,68,3.8
Beringovskiy,RU,1571423127,27,78,63.05,179.32,22.08,4.9
Shimoda,JP,1571423129,90,88,34.7,138.93,66.2,11.41
Port Alfred,ZA,1571423131,73,93,-33.59,26.89,66,3
Ushuaia,AR,1571423132,0,34,-54.81,-68.31,48.2,13.87
Klaksvik,FO,1571423134,99,81,62.23,-6.59,44.6,17.22
Jamestown,AU,1571423136,62,90,-33.21,138.6,48.54,7.31
Atuona,PF,1571423138,0,74,-9.8,-139.03,79.93,17.69
Tiksi,RU,1571423140,0,89,71.64,128.87,5.43,5.53
Tasiilaq,GL,1571423141,75,57,65.61,-37.64,32,6.93
Kutum,SD,1571423143,8,36,14.2,24.66,81.16,6.44
Xingcheng,CN,1571423145,0,85,40.62,120.71,46.4,3.56
San Quintin,PH,1571423147,35,88,17.54,120.52,71.6,5.17
Vardo,US,1571423148,20,38,39.62,-77.74,61,13.87
Punta Arenas,CL,1571423150,90,87,-53.16,-70.91,42.8,14.99
Puerto Ayora,EC,1571423152,75,64,-0.74,-90.35,75.2,5.82
Portland,US,1571423154,75,54,43.66,-70.25,57.99,16.11
